Facility Name,Facility,NumberOfUnits,Latitude,Longitude,WindTurbineManufacturer
Buffalo Ridge Wind Farm I,Buffalo Ridge Wind Farm I,24,44.422784,-96.834898,Suzlon Energy Company
Bull Creek Wind Farm,Bull Creek Wind Farm,180,32.933099,-101.584425,Mitsubishi
Bull Hill,Bull Hill,19,44.723076,-68.170852,Vestas
Bureau Valley School District Wind Farm,Bureau Valley School District,1,41.4661,-89.678,Vestas
Burley Butte,Burley Butte,13,42.4644,-113.895,GE Energy
Butler Ridge Wind Farm,Butler Ridge Wind Farm,36,43.388524,-88.467332,GE Energy
CWES I Wind Farm,CWES I,18,37.7347,-121.652,Enertech
CWES II Wind Farm,CWES II,6,37.7347,-121.652,Enertech
Cabazon Wind Farm I,Cabazon,53,33.9095,-116.734,Zond
Cabazon Wind Farm II,Cabazon,62,33.9095,-116.734,Vestas
Callahan Divide Wind Energy Center,Callahan Divide Wind Energy Center,76,32.310556,-100.149167,GE Energy
Calverton Wind Farm,Calverton,1,40.927997,-72.7749,Atlantic Orient Co.
Calwind II CEC Wind Farm,Calwind II CEC,13,35.07665,-118.25529,Vestas
Calwind Resources Wind Farm,Calwind Resources,217,35.07665,-118.25529,Bonus
Cameron Ridge Wind Farm,Cameron Ridge,80,35.07665,-118.25529,NEG Micon
Camp Grove Wind Farm,Camp Grove Wind Farm,100,41.088871,-89.656684,GE Energy
Camp Reed,Camp Reed,15,42.443817,-114.320844,GE Energy
Camp Springs II (1Q08) Wind Farm,Camp Springs II (1Q08),59,32.749117,-100.731082,GE Energy
Camp Springs II (4Q07) Wind Farm,Camp Springs II (4Q07),21,32.730924,-100.735803,GE Energy
Camp Springs Wind Farm,Camp Springs,87,32.739516,-100.741382,GE Energy
Camp William Utah National Guard Wind Farm I,Camp William Utah National Guard,1,40.439852,-111.919141,NEG Micon
Camp William Utah National Guard Wind Farm II,Camp William Utah National Guard,1,40.439852,-111.919141,Vestas
Campbell Hill Wind Farm,Campbell Hill,66,42.998955,-106.021366,GE Energy
Caney River,Caney River,111,37.448424,-96.425027,Vestas
Cannon (Various),Cannon (Various),42,35.1317,-118.451,Micon Vestas
Cannon I Wind Farm,Cannon I,8,35.1317,-118.451,Micon
Cannon II Wind Farm,Cannon II,28,35.1317,-118.451,Vestas
Canova Wind Farm,Canova,1,44.169,-97.7158,Micon
Cape Wind Project,Cape Wind,130,41.501805,-70.318333,Siemens
Capricorn Ridge (GE Energy) Wind Farm,Capricorn Ridge (GE Energy),143,31.838061,-100.923965,GE Energy
Capricorn Ridge (Siemens) Wind Farm,Capricorn Ridge (Siemens),65,31.844192,-100.932612,Siemens
